Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,5,ONE FOR ALL (G012),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G012,L Ferraris,R Gibson,129,1233,12,-,1 1 1,1:10.17,8.2
2,11,CHARMING STEED (E494),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E494,H Bentley,C Fownes,117,1080,7,1-1/4,3 3 2,1:10.38,6.7
3,7,CHEER FOR SOUTH (H178),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H178,K Teetan,F C Lor,124,1068,5,1-1/4,2 2 3,1:10.39,10.0
4,3,SNOWALOT (E397),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E397,L Hewitson,D A Hayes,133,1094,8,2,10 11 4,1:10.51,5.6
5,4,DIAMOND FLARE (H224),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H224,B Avdulla,P F Yiu,131,1280,6,3,4 6 5,1:10.66,13.0
6,1,CIRCUIT BOOMING (E485),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E485,H Bowman,A S Cruz,135,1108,1,4-1/4,6 4 6,1:10.86,6.1
7,9,ABOVE ALL (D397),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D397,R Maia,A T Millard,122,1065,4,4-3/4,9 9 7,1:10.92,7.3
8,8,HERCULES (C476),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C476,C Y Ho,C H Yip,124,1056,9,5,11 10 8,1:10.97,13.0
9,12,SUPER JOY (G251),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G251,M L Yeung,L Ho,116,1075,11,6,12 12 9,1:11.11,53.0
10,2,TELECOM SPIRIT (G310),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G310,K C Leung,Y S Tsui,135,1236,3,6-1/4,8 7 10,1:11.17,39.0
11,6,GOLDEN LUCK (H159),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H159,M F Poon,K L Man,123,1092,10,6-1/2,7 8 11,1:11.21,17.0
12,10,PRECISION GOAL (H016),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_H016,M Chadwick,T P Yung,119,1080,2,6-3/4,5 5 12,1:11.27,8.5
